0,0,0
0.45225,0.023701,0.4058
0.9045,0.047403,0.78343
1.3568,0.071104,1.1329
1.809,0.094806,1.4541
2.2613,0.11851,1.7472
2.7135,0.14221,2.0121
3.1658,0.16591,2.2488
3.618,0.18961,2.4573
4.0703,0.21331,2.6377
4.5225,0.23701,2.7899
4.9748,0.26072,2.9139
5.427,0.28442,3.0097
5.8793,0.30812,3.0773
6.3315,0.33182,3.1167
6.7838,0.35552,3.128
7.236,0.37922,3.1111
7.6883,0.40292,3.066
8.1405,0.42663,2.9927
8.5928,0.45033,2.8912
9.045,0.47403,2.7616
9.4973,0.49773,2.6038
9.9495,0.52143,2.4178
10.402,0.54513,2.2036
10.854,0.56883,1.9612
11.306,0.59254,1.6906
11.759,0.61624,1.3919
12.211,0.63994,1.065
12.663,0.66364,0.70989
13.115,0.68734,0.32661
13.568,0.71104,-0.084852
14.02,0.73475,-0.52449
14.472,0.75845,-0.99232
14.924,0.78215,-1.4883
15.377,0.80585,-2.0125
15.829,0.82955,-2.5649
16.281,0.85325,-3.1454
16.733,0.87695,-3.7542
17.186,0.90066,-4.3911
17.638,0.92436,-5.0562
18.09,0.94806,-5.7494
18.542,0.97176,-6.4709
18.995,0.99546,-7.2205
19.447,1.0192,-7.9984
19.899,1.0429,-8.8044
20.351,1.0666,-9.6386
20.804,1.0903,-10.501
21.256,1.114,-11.391
21.708,1.1377,-12.31
22.16,1.1614,-13.257
22.613,1.1851,-14.232
23.065,1.2088,-15.235
23.517,1.2325,-16.267
23.969,1.2562,-17.327
24.422,1.2799,-18.414
24.874,1.3036,-19.53
25.326,1.3273,-20.675
25.778,1.351,-21.847
26.231,1.3747,-23.047
26.683,1.3984,-24.276
