0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032771,0.090036,-0.051457,7.0977,0.746,5.5588,1.2006,2.6966,2.0868,0.52273,4.2573,3.8634,14.922,1.8322,4.2547,5.6716,11.131,11.598,6.6111,5.3535,6.9116,7.032,12.686,10.638,2.2202,4.5521,2.7641,1.6708,9.4756,9.1951
0.065541,0.18007,-0.38473,14.195,1.492,10.836,2.4012,5.3932,3.8918,1.0455,8.5145,7.445,29.845,3.6645,8.2276,11.343,22.262,22.915,13.222,10.707,13.541,14.064,25.372,20.994,4.4404,9.1042,5.2463,3.3416,18.951,18.108
0.098312,0.27011,-0.99982,21.293,2.238,15.831,3.6018,8.0898,5.415,1.5682,12.772,10.745,44.767,5.4967,11.919,17.015,33.393,33.95,19.833,16.061,19.889,21.096,38.058,31.069,6.6606,13.656,7.4468,5.0124,28.427,26.74
0.13108,0.36015,-1.8967,28.391,2.984,20.544,4.8024,10.786,6.6564,2.0909,17.029,13.763,59.689,7.3289,15.328,22.686,44.525,44.703,26.444,21.414,25.955,28.128,50.744,40.862,8.8808,18.208,9.3654,6.6832,37.902,35.089
0.16385,0.45018,-3.0754,35.488,3.73,24.976,6.003,13.483,7.616,2.6136,21.286,16.499,74.612,9.1612,18.455,28.358,55.656,55.174,33.055,26.768,31.74,35.16,63.43,50.372,11.101,22.76,11.002,8.354,47.378,43.157
0.19662,0.54022,-4.536,42.586,4.476,29.125,7.2036,16.18,8.2938,3.1364,25.544,18.953,89.534,10.993,21.301,34.03,66.787,65.363,39.666,32.121,37.242,42.192,76.116,59.601,13.321,27.313,12.357,10.025,56.854,50.943
0.22939,0.63025,-6.2783,49.684,5.222,32.993,8.4042,18.876,8.6897,3.6591,29.801,21.126,104.46,12.826,23.865,39.701,77.918,75.271,46.277,37.475,42.463,49.224,88.802,68.549,15.541,31.865,13.43,11.696,66.329,58.447
0.26216,0.72029,-8.3025,56.781,5.968,36.579,9.6048,21.573,8.8038,4.1818,34.058,23.017,119.38,14.658,26.147,45.373,89.049,84.897,52.888,42.828,47.402,56.256,101.49,77.214,17.762,36.417,14.222,13.366,75.805,65.67
0.29494,0.81033,-10.608,63.879,6.714,39.884,10.805,24.269,8.6361,4.7045,38.315,24.625,134.3,16.49,28.147,51.044,100.18,94.241,59.499,48.182,52.059,63.288,114.17,85.598,19.982,40.969,14.731,15.037,85.28,72.61
0.32771,0.90036,-13.196,70.977,7.46,42.906,12.006,26.966,8.1866,5.2273,42.573,25.953,149.22,18.322,29.866,56.716,111.31,103.3,66.111,53.535,56.434,70.32,126.86,93.699,22.202,45.521,14.959,16.708,94.756,79.269
